Geography,AgeGroup,Count,Percent
Eilean Siar,Ages25to44,11240.0,20.755622853344168
Eilean Siar,Ages45to64,16706.0,30.849060087897477
Eilean Siar,Ages5to14,5240.0,9.676108874690698
Eilean Siar,Ages65to74,7478.0,13.80876758872844
Eilean Siar,Ages75to84,5048.0,9.321564427373785
Eilean Siar,Ages85plus,1814.0,3.349706392879566
Falkirk,Ages0to4,12560.0,4.1304376422304365
Falkirk,Ages15to24,32888.0,10.815432577840333
Falkirk,Ages25to44,79618.0,26.182896831138763
Falkirk,Ages45to64,87070.0,28.633535470462107
Falkirk,Ages5to14,32546.0,10.7029636547796
Falkirk,Ages65to74,32272.0,10.612856973730942
Falkirk,Ages75to84,20768.0,6.829691795688034
Falkirk,Ages85plus,6362.0,2.09218505412978
Fife,Ages0to4,30970.0,3.905717961005877
Fife,Ages15to24,96888.0,12.218831185209474
Fife,Ages25to44,198864.0,25.079325043508966
Fife,Ages45to64,214158.0,27.00809645118168
Fife,Ages5to14,83648.0,10.549095770171766
Fife,Ages65to74,89210.0,11.25053598002371
Fife,Ages75to84,60106.0,7.580144777662875
Fife,Ages85plus,19096.0,2.4082528312356546
Glasgow City,Ages0to4,58574.0,3.6706665028964762
Glasgow City,Ages15to24,199284.0,12.488563242449233
Glasgow City,Ages25to44,625626.0,39.20620755866273
Glasgow City,Ages45to64,368818.0,23.112778336211846
Glasgow City,Ages5to14,139302.0,8.729661371709033
Glasgow City,Ages65to74,122362.0,7.6680796023392395
Glasgow City,Ages75to84,60528.0,3.7931181426455067
Glasgow City,Ages85plus,21238.0,1.3309252430859317
Highland,Ages0to4,19068.0,3.83689764248517
Highland,Ages15to24,47646.0,9.587414782559703
Highland,Ages25to44,119954.0,24.137362062443156
Highland,Ages45to64,142858.0,28.746146602168366
Highland,Ages5to14,49674.0,9.995492631256992
Highland,Ages65to74,62904.0,12.657657295095822
Highland,Ages75to84,41178.0,8.285912058016274
Highland,Ages85plus,13682.0,2.753116925974517
Inverclyde,Ages0to4,6384.0,3.9401083776677814
Inverclyde,Ages15to24,16916.0,10.44029970498562
Inverclyde,Ages25to44,41208.0,25.43295520472023
Inverclyde,Ages45to64,46926.0,28.962018441484698
Inverclyde,Ages5to14,16058.0,9.910755064002073
Inverclyde,Ages65to74,19092.0,11.783294039228272
Inverclyde,Ages75to84,11512.0,7.105032525644033
Inverclyde,Ages85plus,3930.0,2.4255366422672906
Midlothian,Ages0to4,10890.0,5.172905187155615
Midlothian,Ages15to24,21346.0,10.139654189625688
Midlothian,Ages25to44,58728.0,27.896636899106973
Midlothian,Ages45to64,54488.0,25.882576477294318
Midlothian,Ages5to14,25424.0,12.076762302869087
Midlothian,Ages65to74,21414.0,10.17195515865476
