Date,PracticeCode,HB,HSCP,Sex,SexQF,AllAges,AllAgesQF,Ages0to4,Ages0To4QF,Ages5to14,Ages5To14QF,Ages15to24,Ages15To24QF,Ages25to44,Ages25To44QF,Ages45to64,Ages45To64QF,Ages65to74,Ages65To74QF,Ages75to84,Ages75To84QF,Ages85plus,Ages85PlusQF
20241001,85155,S08000022,S37000004,All,d,9398,,399,,978,,922,,2112,,2595,,1171,,912,,309,
20241001,85193,S08000022,S37000004,Male,,1240,,28,,117,,106,,203,,410,,214,,131,,31,
20241001,85193,S08000022,S37000004,Female,,1231,,24,,130,,95,,184,,426,,216,,123,,33,
20241001,85193,S08000022,S37000004,All,d,2471,,52,,247,,201,,387,,836,,430,,254,,64,
20241001,85225,S08000031,S37000029,Male,,2393,,94,,258,,231,,660,,664,,289,,145,,52,
20241001,85225,S08000031,S37000029,Female,,2594,,93,,238,,271,,647,,741,,322,,210,,72,
20241001,85225,S08000031,S37000029,All,d,4987,,187,,496,,502,,1307,,1405,,611,,355,,124,
20241001,85230,S08000031,S37000029,Male,,3712,,140,,399,,449,,946,,1065,,419,,246,,48,
20241001,85230,S08000031,S37000029,Female,,3863,,136,,399,,386,,928,,1135,,472,,308,,99,
20241001,85230,S08000031,S37000029,All,d,7575,,276,,798,,835,,1874,,2200,,891,,554,,147,
20241001,85259,S08000031,S37000029,Male,,1865,,103,,238,,198,,499,,494,,224,,88,,21,
20241001,85259,S08000031,S37000029,Female,,1856,,78,,178,,189,,523,,506,,232,,100,,50,
20241001,85259,S08000031,S37000029,All,d,3721,,181,,416,,387,,1022,,1000,,456,,188,,71,
20241001,85403,S08000031,S37000029,Male,,4619,,203,,466,,490,,1186,,1323,,521,,348,,82,
20241001,85403,S08000031,S37000029,Female,,4833,,173,,439,,509,,1267,,1312,,596,,392,,145,
20241001,85403,S08000031,S37000029,All,d,9452,,376,,905,,999,,2453,,2635,,1117,,740,,227,
20241001,86001,S08000031,S37000017,Male,,3855,,133,,351,,403,,822,,1220,,509,,324,,93,
20241001,86001,S08000031,S37000017,Female,,4097,,123,,353,,367,,806,,1264,,574,,430,,180,
20241001,86001,S08000031,S37000017,All,d,7952,,256,,704,,770,,1628,,2484,,1083,,754,,273,
20241001,86177,S08000031,S37000017,Male,,4761,,184,,461,,539,,1269,,1434,,530,,265,,79,
20241001,86177,S08000031,S37000017,Female,,4684,,159,,459,,484,,1148,,1324,,561,,378,,171,
20241001,86177,S08000031,S37000017,All,d,9445,,343,,920,,1023,,2417,,2758,,1091,,643,,250,
20241001,86181,S08000031,S37000017,Male,,2891,,110,,292,,316,,732,,831,,356,,203,,51,
20241001,86181,S08000031,S37000017,Female,,3010,,98,,268,,281,,731,,895,,375,,259,,103,
20241001,86181,S08000031,S37000017,All,d,5901,,208,,560,,597,,1463,,1726,,731,,462,,154,
20241001,86196,S08000031,S37000017,Male,,1398,,37,,149,,185,,229,,439,,167,,147,,45,
20241001,86196,S08000031,S37000017,Female,,1454,,30,,141,,141,,243,,454,,188,,171,,86,
20241001,86196,S08000031,S37000017,All,d,2852,,67,,290,,326,,472,,893,,355,,318,,131,
20241001,86209,S08000031,S37000017,Male,,1749,,63,,167,,172,,361,,551,,267,,138,,30,
20241001,86209,S08000031,S37000017,Female,,1815,,59,,150,,165,,364,,595,,277,,142,,63,
20241001,86209,S08000031,S37000017,All,d,3564,,122,,317,,337,,725,,1146,,544,,280,,93,
20241001,86228,S08000031,S37000017,Male,,1670,,75,,185,,166,,537,,482,,154,,56,,15,
20241001,86228,S08000031,S37000017,Female,,1657,,89,,189,,143,,502,,446,,167,,81,,40,
20241001,86228,S08000031,S37000017,All,d,3327,,164,,374,,309,,1039,,928,,321,,137,,55,
20241001,86271,S08000031,S37000017,Male,,1965,,84,,215,,200,,514,,552,,226,,147,,27,
20241001,86271,S08000031,S37000017,Female,,2038,,85,,181,,176,,531,,546,,269,,191,,59,
20241001,86271,S08000031,S37000017,All,d,4003,,169,,396,,376,,1045,,1098,,495,,338,,86,
20241001,86285,S08000031,S37000017,Male,,1866,,81,,223,,200,,524,,480,,203,,127,,28,
20241001,86285,S08000031,S37000017,Female,,2010,,75,,202,,187,,505,,541,,264,,167,,69,
20241001,86285,S08000031,S37000017,All,d,3876,,156,,425,,387,,1029,,1021,,467,,294,,97,
20241001,86321,S08000031,S37000017,Male,,2050,,87,,206,,244,,545,,579,,239,,125,,25,
20241001,86321,S08000031,S37000017,Female,,2018,,81,,184,,206,,548,,558,,244,,147,,50,
20241001,86321,S08000031,S37000017,All,d,4068,,168,,390,,450,,1093,,1137,,483,,272,,75,
20241001,86336,S08000031,S37000017,Male,,2636,,132,,312,,311,,726,,751,,256,,126,,22,
20241001,86336,S08000031,S37000017,Female,,2641,,119,,266,,306,,714,,752,,252,,181,,51,
20241001,86336,S08000031,S37000017,All,d,5277,,251,,578,,617,,1440,,1503,,508,,307,,73,
20241001,86341,S08000031,S37000017,Male,,2796,,108,,312,,332,,806,,809,,266,,135,,28,
20241001,86341,S08000031,S37000017,Female,,2822,,109,,278,,294,,758,,802,,336,,181,,64,
20241001,86341,S08000031,S37000017,All,d,5618,,217,,590,,626,,1564,,1611,,602,,316,,92,
