PracticeCode,Sex,AgeGroup,Count
16066,Female,Ages0to4,112.0
16066,All,Ages0to4,213.0
16085,Male,Ages0to4,129.0
16085,Female,Ages0to4,109.0
16085,All,Ages0to4,238.0
16121,Male,Ages0to4,87.0
16121,Female,Ages0to4,83.0
16121,All,Ages0to4,170.0
16136,Male,Ages0to4,227.0
16136,Female,Ages0to4,171.0
16136,All,Ages0to4,398.0
16141,Male,Ages0to4,104.0
16141,Female,Ages0to4,87.0
16141,All,Ages0to4,191.0
16160,Male,Ages0to4,75.0
16160,Female,Ages0to4,90.0
16160,All,Ages0to4,165.0
16174,Male,Ages0to4,81.0
16174,Female,Ages0to4,64.0
16174,All,Ages0to4,145.0
16206,Male,Ages0to4,67.0
16206,Female,Ages0to4,62.0
16206,All,Ages0to4,129.0
16211,Male,Ages0to4,113.0
16211,Female,Ages0to4,108.0
16211,All,Ages0to4,221.0
16230,Male,Ages0to4,114.0
16230,Female,Ages0to4,81.0
16230,All,Ages0to4,195.0
16259,Male,Ages0to4,104.0
16259,Female,Ages0to4,89.0
16259,All,Ages0to4,193.0
16282,Male,Ages0to4,67.0
16282,Female,Ages0to4,49.0
16282,All,Ages0to4,116.0
16297,Male,Ages0to4,82.0
16297,Female,Ages0to4,86.0
16297,All,Ages0to4,168.0
16475,Male,Ages0to4,36.0
16475,Female,Ages0to4,31.0
16475,All,Ages0to4,67.0
16507,Male,Ages0to4,128.0
16507,Female,Ages0to4,124.0
16507,All,Ages0to4,252.0
16545,Male,Ages0to4,267.0
16545,Female,Ages0to4,204.0
16545,All,Ages0to4,471.0
16550,Male,Ages0to4,87.0
16550,Female,Ages0to4,77.0
16550,All,Ages0to4,164.0
16564,Male,Ages0to4,75.0
16564,Female,Ages0to4,70.0
16564,All,Ages0to4,145.0
18057,Male,Ages0to4,65.0
18057,Female,Ages0to4,47.0
18057,All,Ages0to4,112.0
18095,Male,Ages0to4,94.0
18095,Female,Ages0to4,91.0
18095,All,Ages0to4,185.0
18112,Male,Ages0to4,7.0
18112,Female,Ages0to4,12.0
18112,All,Ages0to4,19.0
18151,Male,Ages0to4,68.0
18151,Female,Ages0to4,61.0
18151,All,Ages0to4,129.0
18184,Male,Ages0to4,144.0
18184,Female,Ages0to4,122.0
18184,All,Ages0to4,266.0
18199,Male,Ages0to4,84.0
18199,Female,Ages0to4,81.0
18199,All,Ages0to4,165.0
18216,Male,Ages0to4,63.0
18216,Female,Ages0to4,55.0
18216,All,Ages0to4,118.0
18235,Male,Ages0to4,22.0
18235,Female,Ages0to4,18.0
18235,All,Ages0to4,40.0
18240,Male,Ages0to4,70.0
18240,Female,Ages0to4,64.0
18240,All,Ages0to4,134.0
18254,Male,Ages0to4,54.0
18254,Female,Ages0to4,42.0
18254,All,Ages0to4,96.0
18273,Male,Ages0to4,118.0
18273,Female,Ages0to4,116.0
18273,All,Ages0to4,234.0
18288,Male,Ages0to4,105.0
18288,Female,Ages0to4,88.0
18288,All,Ages0to4,193.0
18305,Male,Ages0to4,222.0
18305,Female,Ages0to4,193.0
18305,All,Ages0to4,415.0
18310,Male,Ages0to4,302.0
18310,Female,Ages0to4,274.0
18310,All,Ages0to4,576.0
18339,Male,Ages0to4,66.0
